transitions,roles,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,build_time
4,1,0.631829023,0.617511988,0.617181063,0.617273331,0.636550426,0.636971951,0.610707521,0.654750824,0.621673822,0.579657793,0.622410774
4,1,0.55685854,0.734218836,0.6962924,0.579052448,0.619699001,0.597024918,0.611439943,0.70958209,0.642512798,0.591552258,0.633823323
4,1,0.614324331,0.591053963,0.682406425,0.682656527,0.688040257,0.669692039,0.664072752,0.679925442,0.658475876,0.656283855,0.658693147
4,1,0.710727453,0.615691423,0.617305994,0.60407424,0.591977835,0.639235973,0.7118361,0.617771387,0.610736847,0.642184734,0.636154199
4,2,1.330226898,1.355350733,1.356506824,1.227791071,1.225061655,1.346988201,1.221962214,1.209052086,1.215019941,1.347815037,1.283577466
4,2,1.284524679,1.323260307,1.347782612,1.189115524,1.244988441,1.377101421,1.188074589,1.202309847,1.209059,1.32843399,1.269465041
4,2,1.214896441,1.216123104,1.186717749,1.303964138,1.255334854,1.255358219,1.250115395,1.278560162,1.273549795,1.303684235,1.253830409
4,2,1.197443962,1.266484499,1.254812479,1.233968258,1.271039486,1.32182765,1.308515549,1.269145489,1.298378229,1.226800442,1.264841604
4,2,1.240060091,1.218023539,1.202658176,1.354543924,1.312629461,1.283184052,1.228874922,1.364124298,1.216538191,1.226059675,1.264669633
4,2,1.195634365,1.234255314,1.248616457,1.323647738,1.221131325,1.196994781,1.266470671,1.208807707,1.27448678,1.190087318,1.236013246
4,2,1.259795666,1.34048295,1.254745483,1.286759377,1.257256269,1.323667526,1.334038019,1.205508947,1.301884174,1.38077426,1.294491267
4,2,1.255532503,1.325696945,1.204929113,1.226543188,1.18067956,1.30102706,1.209438086,1.238670111,1.22229147,1.341683626,1.250649166
4,2,1.28055191,1.320297718,1.178729296,1.279169321,1.241562843,1.389292479,1.263505697,1.271764994,1.319336891,1.421607494,1.296581864
5,1,0.595317602,0.614409447,0.59062314,0.624919176,0.729449272,0.689548016,0.634661674,0.601538181,0.563245773,0.588627338,0.623233962
5,1,0.582282066,0.582102299,0.577617168,0.588829041,0.619249344,0.595273256,0.592894077,0.701457024,0.639708757,0.687963247,0.616737628
5,1,0.570357561,0.593678474,0.5846591,0.582730532,0.735948563,0.624335051,0.601217031,0.685733318,0.596601725,0.61230278,0.618756413
5,1,0.648861408,0.60479331,0.694884539,0.682579517,0.601910114,0.620560884,0.619252205,0.639991522,0.57761693,0.57030654,0.626075697
5,1,0.603409767,0.618524313,0.611050367,0.603400946,0.666940451,0.693559647,0.648437738,0.730304003,0.593778372,0.637284517,0.640669012
5,1,0.601420641,0.627940655,0.600331783,0.571298361,0.627656698,0.591262579,0.582350492,0.586122274,0.598908186,0.581784964,0.596907663
5,2,1.209566593,1.303421736,1.209900856,1.196698666,1.211446047,1.375891685,1.173294783,1.249216557,1.212102652,1.316062212,1.245760179
5,2,1.191080332,1.23017931,1.501492023,1.29826355,1.224605083,1.203525305,1.302717447,1.217769384,1.22584796,1.356111288,1.275159168
5,2,1.31344533,1.37209487,1.217008829,1.223909616,1.283706665,1.229261875,1.221889496,1.254226208,1.29057622,1.298876047,1.270499516
5,2,1.318973303,1.257777691,1.292484522,1.237411499,1.33117342,1.275704622,1.231724024,1.251883268,1.467172384,1.350442648,1.301474738
5,2,1.304049969,1.292317152,1.355917692,1.22781682,1.209833384,1.289228201,1.227994442,1.228708982,1.212174892,1.321660757,1.266970229
