transitions,roles,build_time,valid_run,valid_run_time,valid_query,name
3,1,0.566538334,True,0.096896648,E<> trueGlobalLog[0].eventID == R365_e_0_ID and trueGlobalLog[1].eventID == R365_e_2_ID and trueGlobalLog[2].eventID == R365_e_1_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\20_max_10_roles_max_5_commands\20_max_10_roles_max_5_commands.json
3,1,0.626309633,True,0.109681606,E<> trueGlobalLog[0].eventID == R937_e_2_ID and trueGlobalLog[1].eventID == R937_e_1_ID and trueGlobalLog[2].eventID == R937_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\54_max_10_roles_max_5_commands\54_max_10_roles_max_5_commands.json
3,2,1.391513586,True,0.140109062,E<> trueGlobalLog[0].eventID == R1452_e_1_ID and trueGlobalLog[1].eventID == R1452_e_0_ID and trueGlobalLog[2].eventID == R1453_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\81_max_10_roles_max_5_commands\81_max_10_roles_max_5_commands.json
3,1,0.715821028,True,0.122174501,E<> trueGlobalLog[0].eventID == R1375_e_2_ID and trueGlobalLog[1].eventID == R1375_e_0_ID and trueGlobalLog[2].eventID == R1375_e_1_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\20_roles_10_commands\23_max_20_roles_max_10_commands\23_max_20_roles_max_10_commands.json
3,3,1.934794664,True,0.153290987,E<> trueGlobalLog[0].eventID == R4772_e_0_ID and trueGlobalLog[1].eventID == R4770_e_0_ID and trueGlobalLog[2].eventID == R4771_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\20_roles_10_commands\82_max_20_roles_max_10_commands\82_max_20_roles_max_10_commands.json
4,2,0.955968857,True,0.103785992,E<> trueGlobalLog[0].eventID == R732_e_1_ID and trueGlobalLog[1].eventID == R733_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\47_max_5_roles_max_10_commands\47_max_5_roles_max_10_commands.json
4,1,0.501200438,True,0.099998474,E<> trueGlobalLog[0].eventID == R821_e_3_ID and trueGlobalLog[1].eventID == R821_e_2_ID and trueGlobalLog[2].eventID == R821_e_0_ID and trueGlobalLog[3].eventID == R821_e_1_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\53_max_5_roles_max_10_commands\53_max_5_roles_max_10_commands.json
4,1,0.521394253,True,0.101615429,E<> trueGlobalLog[0].eventID == R225_e_3_ID and trueGlobalLog[1].eventID == R225_e_2_ID and trueGlobalLog[2].eventID == R225_e_1_ID and trueGlobalLog[3].eventID == R225_e_0_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\25_max_5_roles_max_5_commands\25_max_5_roles_max_5_commands.json
4,2,0.944677591,True,0.109178543,E<> trueGlobalLog[0].eventID == R454_e_0_ID and trueGlobalLog[1].eventID == R454_e_1_ID and trueGlobalLog[2].eventID == R455_e_0_ID and trueGlobalLog[3].eventID == R454_e_2_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\46_max_5_roles_max_5_commands\46_max_5_roles_max_5_commands.json
4,2,1.021118402,True,0.114621162,E<> trueGlobalLog[0].eventID == R462_e_0_ID and trueGlobalLog[1].eventID == R461_e_0_ID and trueGlobalLog[1].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\47_max_5_roles_max_5_commands\47_max_5_roles_max_5_commands.json
4,1,0.468297243,True,0.100063086,E<> trueGlobalLog[0].eventID == R467_e_3_ID and trueGlobalLog[1].eventID == R467_e_0_ID and trueGlobalLog[2].eventID == R467_e_2_ID and trueGlobalLog[3].eventID == R467_e_1_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\48_max_5_roles_max_5_commands\48_max_5_roles_max_5_commands.json
