transitions,roles,build_time,projection_time,rt
22,4,2.704292774,0.000962496,88
30,3,2.11968112,0,90
23,4,2.584140778,0,92
23,4,2.623006344,0,92
31,3,2.09814024,0.001392603,93
19,5,3.132667065,0,95
19,5,3.187464476,0.015667677,95
24,4,2.723175049,0,96
24,4,2.772493839,0.015625238,96
16,6,3.92367053,0,96
16,6,3.870733261,0,96
33,3,2.123059511,0,99
25,4,3.324184895,0.001083851,100
25,4,2.607379913,0.001584053,100
25,4,2.648808956,0,100
25,4,2.709495068,0,100
25,4,2.788749218,0,100
34,3,2.232050657,0,102
17,6,3.953576088,0,102
26,4,2.568987846,0,104
36,3,2.095866919,0,108
22,5,3.173420429,0,110
28,4,2.582305908,0,112
16,7,4.668642521,0,112
16,7,4.6593678,0,112
16,7,4.653024435,0,112
19,6,3.882400751,0.001631021,114
19,6,4.29650259,0,114
19,6,4.017936707,0,114
23,5,3.54988718,0,115
29,4,2.749861717,0,116
29,4,2.780268908,0,116
29,4,2.8734231,0,116
17,7,4.574984312,0,119
17,7,5.060655355,0,119
24,5,3.439415455,0,120
41,3,2.111687899,0,123
41,3,2.257444859,0.013240337,123
26,5,3.47761941,0,130
26,5,3.395723104,0,130
33,4,2.855730534,0,132
33,4,2.78095603,0,132
22,6,3.997487068,0,132
19,7,4.488938332,0,133
19,7,4.76183176,0,133
19,7,4.830930471,0,133
27,5,3.42922473,0.001625299,135
27,5,3.47624588,0,135
17,8,5.253953695,0,136
17,8,5.692982435,0,136
17,8,5.333328724,0,136
35,4,2.9165802,0,140
28,5,3.407610655,0,140
20,7,4.681167126,0,140
20,7,4.611819267,0.003123283,140
36,4,3.064964056,0,144
24,6,3.892480612,0,144
24,6,4.156947374,0.002095699,144
16,9,5.913603067,0,144
29,5,3.479477644,0.00299859,145
30,5,3.31280899,0,150
25,6,3.936343431,0,150
38,4,2.812526703,0,152
38,4,2.741181135,0,152
39,4,2.991648197,0,156
26,6,3.979522943,0,156
20,8,5.309741974,0,160
20,8,5.312116146,0,160
18,9,6.045708418,0.004006386,162
33,5,3.583219767,0,165
56,3,2.366896391,0,168
42,4,2.768840075,0,168
34,5,3.280208588,0.002040863,170
29,6,4.080140829,0,174
29,6,4.058507681,0.015625477,174
29,6,4.015943289,0.015659094,174
35,5,3.390261173,0,175
44,4,2.929547071,0,176
22,8,5.268676996,0.00195384,176
22,8,5.246516228,0.01678443,176
36,5,3.499624491,0,180
26,7,4.957946062,0,182
26,7,4.623049498,0.000331879,182
26,7,4.661764145,0,182
23,8,5.63778162,0.006541729,184
38,5,3.519175291,0.007548094,190
48,4,2.877412796,0.003455162,192
32,6,4.040500879,0,192
32,6,4.103939056,0,192
39,5,3.508831978,0.009007692,195
33,6,4.10443449,0.015625,198
22,9,6.004194736,0,198
22,9,5.944229841,0,198
50,4,3.098838806,0.004044771,200
29,7,4.605570078,0,203
29,7,4.654824257,0,203
34,6,3.797139883,0,204
34,6,3.820778131,0,204
43,5,3.539068699,0.002509832,215
43,5,3.563146591,0,215
24,9,6.179593563,0.00585413,216
24,9,5.936335564,0.015625,216
24,9,5.781801224,0.016364574,216
37,6,4.22860074,0.002161026,222
